-DOCSTART- -X- -X- O

news O O O
story O O O

2003-05-27 O O O
20:08:39 O O O

first O O O
an O O O
update O O O
on O O O
a O O O
long O O O
running O O O
air O O O
safety O O O
investigation O O O
a O O O
year O O O
and O O O
a O O O
half O O O
near O O O
an O O O
airline O O B-VEH
crashed O O O
near O O O
new O O B-GPE
york O O I-GPE
's O O O
kennedy O O B-FAC
airport O O I-FAC
there O O O
is O O O
controversy O O O
whether O O O
the O O O
disaster O O O
could O O O
have O O O
been O O O
averted O O O
. O O O

265 O O O
people O O B-PER
died O O O
in O O O
the O O O
november O O O
2001 O O O
crash O O O
of O O O
flight O O B-VEH
587 O O I-VEH
. O O O

hard O O O
to O O O
forget O O O
those O O O
images O O O
. O O O

after O O O
the O O O
pilots O O B-PER
lost O O O
control O O O
of O O O
the O O O
plane O O B-VEH
, O O O
and O O O
the O O O
jet O O B-VEH
's O O O
tail O O O
fin O O O
broke O O O
off O O O
. O O O

airbus O O B-ORG
strongly O O O
denies O O O
claims O O O
it O O B-ORG
failed O O O
to O O O
provide O O O
sufficient O O O
warning O O O
. O O O

but O O O
critics O O B-PER
say O O O
airbus O O B-ORG
should O O O
have O O O
sounded O O O
a O O O
stronger O O O
alarm O O O
after O O O
a O O O
similar O O O
incident O O O
occurred O O O
in O O O
1997 O O O
. O O O

that O O O
is O O O
when O O O
american O O B-ORG
airlines O O I-ORG
flight O O B-VEH
903 O O I-VEH
ran O O O
into O O O
trouble O O O
on O O O
a O O O
trip O O O
from O O O
boston O O B-GPE
to O O O
miami O O B-GPE
. O O O

the O O O
pilots O O B-PER
of O O O
that O O O
plane O O B-VEH
forcibly O O O
applied O O O
their O O B-PER
rudder O O O
to O O O
recover O O O
from O O O
a O O O
stall O O O
, O O O
and O O O
as O O O
a O O O
result O O O
the O O O
plane O O B-VEH
's O O O
tail O O O
section O O O
exceed O O O
its O O O
design O O O
limits O O O
. O O O

pilots O O B-PER
managed O O O
to O O O
land O O O
safely O O O
, O O O
only O O O
after O O O
a O O O
terrifying O O O
ordeal O O O
for O O O
passengers O O B-PER
. O O O

melanie O O B-PER
joyceon O O I-PER
joins O O O
us O O B-ORG
from O O O
dallas O O B-GPE
. O O O

thanks O O O
for O O O
being O O O
with O O O
us O O B-ORG
. O O O

can O O O
you O O B-PER
tell O O O
me O O B-PER
about O O O
the O O O
flight O O O
five O O O
years O O O
ago O O O
. O O O

what O O O
happened O O O
to O O O
you O O B-PER
? O O O

2003-05-27 O O O
20:09:43 O O O

news O O O
story O O O

2003-06-18 O O O
07:16:10 O O O

in O O O
michigan O O B-GPE
, O O O
a O O O
second O O O
straight O O O
night O O O
and O O O
into O O O
this O O O
morning O O O
, O O O
hundreds O O O
of O O O
people O O B-PER
have O O O
been O O O
rioting O O O
in O O O
benton O O B-GPE
harbor O O I-GPE
. O O O

a O O O
man O O B-PER
on O O O
a O O O
motorcycle O O B-VEH
was O O O
killed O O O
while O O O
being O O O
chased O O O
about O O O
i O O O
police O O B-PER
, O O O
the O O O
violence O O O
broke O O O
out O O O
. O O O

the O O O
governor O O B-PER
has O O O
declared O O O
a O O O
state O O O
of O O O
emergency O O O
. O O O

mark O O B-PER
alberts O O I-PER
from O O O
our O O B-ORG
affiliate O O B-ORG
has O O O
more O O O
from O O O
benton O O B-GPE
harbor O O I-GPE
. O O O

2003-06-18 O O O
07:16:27 O O O

news O O O
story O O O

2003-04-11 O O O
08:29:16 O O O

now O O O
that O O O
saddam O O B-PER
hussein O O I-PER
's O O O
regime O O B-GPE
has O O O
fallen O O O
is O O O
democracy O O O
the O O O
answer O O O
to O O O
iraq O O B-GPE
and O O O
its O O B-GPE
people O O B-GPE
. O O O

in O O O
his O O B-PER
book O O O
, O O O
fareed O O B-PER
zakar O O I-PER
ericks O O I-PER
a O O O
joins O O O
us O O B-ORG
now O O O
to O O O
talk O O O
about O O O
democracy O O O
and O O O
iraq O O B-GPE
's O O O
future O O O
. O O O

good O O O
to O O O
see O O O
you O O B-PER
. O O O

thank O O O
you O O B-PER
, O O O
paula O O B-PER
. O O O

good O O O
to O O O
see O O O
you O O B-PER
on O O O
a O O O
different O O O
network O O B-ORG
for O O O
a O O O
change O O O
. O O O

that O O O
's O O O
what O O O
happens O O O
when O O O
you O O B-PER
sell O O O
books O O O
. O O O

i O O B-PER
know O O O
. O O O

let O O O
' O O O
s O O B-PER
talk O O O
about O O O
what O O O
barbara O O B-PER
starr O O I-PER
was O O O
reporting O O O
from O O O
the O O O
pentagon O O B-FAC
. O O O

she O O B-PER
says O O O
there O O O
is O O O
an O O O
acknowledgment O O O
from O O O
those O O O
officials O O B-PER
that O O O
there O O O
are O O O
not O O O
enough O O O
ground O O O
