-DOCSTART- -X- -X- O

dealing O O O
with O O O
serial O O O
crimes O O O
per O O O
se O O O
/. O O O

we O O O
can O O O
see O O O
the O O O
emerging O O O
behavior O O O
/. O O O

we O O O
can O O O
see O O O
that O O O
this O O O
is O O O
a O O O
behavior O O O
that O O O
is O O O
not O O O
going O O O
to O O O
stop O O O
/. O O O

you O O O
can O O O
have O O O
hundreds O O B-CARDINAL
of O O O
individuals O O O
as O O O
suspects O O O
and O O O
can O O O
narrow O O O
the O O O
focus O O O
of O O O
your O O O
investigation O O O
to O O O
a O O O
smaller O O O
pool O O O
of O O O
people O O O
/. O O O

and O O O
it O O O
gives O O O
you O O O
a O O O
starting O O O
point O O O
/. O O O

the O O O
good O O O
news O O O
is O O O
even O O O
though O O O
at O O O
any O O O
given O O O
point O O O
in O O O
time O O O
that O O O
there O O O
are O O O
these O O O
people O O O
out O O O
there O O O
perpetrating O O O
these O O O
crimes O O O
we O O O
are O O O
getting O O O
better O O O
at O O O
catching O O O
them O O O
and O O O
better O O O
at O O O
catching O O O
them O O O
sooner O O O
so O O O
that O O O
instead O O O
of O O O
waiting O O O
until O O O
they O O O
've O O O
committed O O O
twelve O O B-CARDINAL
crimes O O O
or O O O
instead O O O
of O O O
having O O O
twelve O O B-CARDINAL
murders O O O
take O O O
place O O O
before O O O
we O O O
catch O O O
somebody O O O
now O O O
we O O O
may O O O
catch O O O
them O O O
after O O O
the O O O
first O O B-ORDINAL
or O O O
second O O B-ORDINAL
murder O O O
/. O O O

i O O O
will O O O
never O O O
in O O O
my O O O
lifetime O O O
learn O O O
why O O O
a O O O
serial O O O
killer O O O
becomes O O O
a O O O
serial O O O
killer O O O
/. O O O

but O O O
maybe O O O
the O O O
work O O O
that O O O
i O O O
'm O O O
doing O O O
now O O O
will O O O
be O O O
able O O O
to O O O
take O O O
other O O O
people O O O
down O O O
avenues O O O
to O O O
explore O O O
with O O O
more O O O
tools O O O
with O O O
more O O O
ability O O O
to O O O
experiment O O O
with O O O
more O O O
ability O O O
to O O O
study O O O
on O O O
a O O O
hands O O O
- O O O
on O O O
basis O O O
/. O O O

but O O O
i O O O
will O O O
never O O O
learn O O O
that O O O
/. O O O

as O O O
a O O O
psychologist O O O
through O O O
all O O O
the O O O
interviews O O O
that O O O
i O O O
've O O O
conducted O O O
all O O O
the O O O
cases O O O
that O O O
i O O O
've O O O
reviewed O O O
what O O O
i O O O
've O O O
learned O O O
is O O O
that O O O
these O O O
people O O O
while O O O
bright O O O
um O O O
and O O O
while O O O
at O O O
some O O O
level O O O
charming O O O
are O O O
emotionally O O O
and O O O
spiritually O O O
bankrupt O O O
/. O O O

and O O O
i O O O
've O O O
learned O O O
that O O O
there O O O
is O O O
such O O O
a O O O
thing O O O
as O O O
evil O O O
/. O O O

while O O O
criminal O O O
profiling O O O
has O O O
been O O O
the O O O
topic O O O
of O O O
best O O O
selling O O O
books O O O
and O O O
award O O O
winning O O O
films O O O
it O O O
is O O O
merely O O O
one O O B-CARDINAL
tool O O O
used O O O
to O O O
solve O O O
crimes O O O
/. O O O

the O O O
fact O O O
is O O O
that O O O
often O O O
offenders O O O
are O O O
caught O O O
while O O O
committing O O O
minor O O O
crimes O O O
like O O O
traffic O O O
violations O O O
or O O O
simply O O O
because O O O
they O O O
raise O O O
suspicion O O O
of O O O
local O O O
police O O O
/. O O O

that O O O
's O O O
our O O O
crime O O O
files O O O
investigation O O O
/. O O O

i O O O
'm O O O
john O O B-PERSON
seganthaler O O I-PERSON
/. O O O

from O O O
nbc O O B-ORG
news O O I-ORG
in O O O
washington O O B-GPE
this O O O
is O O O
meet O O B-WORK_OF_ART
the O O I-WORK_OF_ART
press O O I-WORK_OF_ART
with O O I-WORK_OF_ART
tim O O I-WORK_OF_ART
russet O O I-WORK_OF_ART
/. O O O

our O O O
issues O O O
this O O B-DATE
sunday O O I-DATE
north O O B-GPE
korea O O I-GPE
's O O I-GPE
kim O O B-PERSON
jong O O I-PERSON
- O O I-PERSON
il O O I-PERSON
defies O O O
the O O O
world O O O
testing O O O
long O O O
range O O O
missiles O O O
which O O O
one O O O
day O O O
could O O O
deliver O O O
nuclear O O O
warheads O O O
/. O O O

can O O O
this O O O
man O O O
be O O O
